player_id,skill_level,latency_ms,region,rank,playtime_hours
1,37,27,OC,Bronze,370
2,32,5,OC,Bronze,479
3,30,6,AS,Bronze,136
4,24,12,NA,Bronze,324
5,41,9,AF,Silver,385
6,26,20,SA,Bronze,470
7,36,19,AS,Bronze,452
8,28,18,SA,Bronze,326
9,11,10,AS,Bronze,247
10,27,7,AS,Bronze,339
11,26,12,NA,Bronze,478
12,40,8,AS,Bronze,252
13,26,12,AF,Bronze,153
14,35,26,AS,Bronze,460
15,37,15,NA,Bronze,444
16,42,9,OC,Silver,306
17,27,20,OC,Bronze,487
18,42,5,EU,Silver,337
19,21,26,SA,Bronze,139
20,30,13,SA,Bronze,224
21,10,13,SA,Bronze,263
22,31,22,OC,Bronze,430
23,33,16,AS,Bronze,297
24,43,10,AS,Silver,253
25,17,29,SA,Bronze,612
26,17,11,OC,Bronze,266
27,27,8,AF,Bronze,45
28,35,14,AS,Bronze,374
29,25,9,AS,Bronze,649
30,15,14,SA,Bronze,191
31,23,14,NA,Bronze,117
32,27,24,NA,Bronze,190
33,31,10,NA,Bronze,428
34,25,14,NA,Bronze,238
35,45,30,NA,Silver,290
36,29,18,AF,Bronze,347
37,29,5,NA,Bronze,515
38,23,9,OC,Bronze,321
39,32,14,AF,Bronze,374
40,34,10,OC,Bronze,336
41,37,9,EU,Bronze,415
42,40,28,EU,Bronze,202
43,32,15,EU,Bronze,188
44,11,21,EU,Bronze,490
45,26,17,NA,Bronze,202
46,25,26,EU,Bronze,220
47,13,17,AS,Bronze,362
48,26,19,AS,Bronze,254
49,16,8,OC,Bronze,294
50,28,22,AS,Bronze,380
51,46,13,OC,Silver,467
52,34,14,AS,Bronze,270
53,46,12,OC,Silver,488
54,37,6,SA,Bronze,451
55,36,7,NA,Bronze,354
56,55,18,AF,Silver,408
57,39,16,AS,Bronze,482
58,21,10,NA,Bronze,374
59,32,15,SA,Bronze,432
60,30,15,SA,Bronze,365
61,36,22,NA,Bronze,308
62,25,21,EU,Bronze,213
63,48,11,NA,Silver,339
64,24,13,NA,Bronze,445
65,25,14,AF,Bronze,438
66,38,17,EU,Bronze,319
67,34,12,AS,Bronze,291
68,14,16,NA,Bronze,88
69,37,16,AF,Bronze,415
70,44,16,NA,Silver,228
71,21,32,NA,Bronze,475
72,40,33,AS,Bronze,422
73,42,6,NA,Silver,260
74,32,27,NA,Bronze,238
75,29,14,AS,Bronze,139
76,32,18,AS,Bronze,400
77,44,14,NA,Silver,455
78,35,8,AS,Bronze,382
79,41,32,EU,Silver,331
80,44,10,OC,Silver,202
81,17,22,AS,Bronze,437
82,35,17,AS,Bronze,362
83,35,12,AF,Bronze,461
84,41,5,AS,Silver,169
85,47,9,AS,Silver,569
86,43,16,NA,Silver,173
87,28,16,AS,Bronze,260
88,44,20,AF,Silver,303
89,32,15,OC,Bronze,360
90,36,18,SA,Bronze,390
91,31,19,SA,Bronze,226
92,30,23,EU,Bronze,405
93,45,18,SA,Silver,251
94,43,9,SA,Silver,589
95,69,15,AF,Gold,348
96,41,12,OC,Silver,156
97,33,8,OC,Bronze,217
98,49,10,EU,Silver,45
99,36,23,SA,Bronze,275
100,43,23,EU,Silver,66
101,39,7,OC,Bronze,330
102,31,23,AF,Bronze,332
103,14,28,EU,Bronze,308
104,32,22,AF,Bronze,472
105,28,27,AF,Bronze,362
106,39,12,SA,Bronze,276
107,32,18,AF,Bronze,183
108,38,13,SA,Bronze,291
109,22,24,EU,Bronze,317
110,32,9,AF,Bronze,372
111,47,17,AS,Silver,331
112,35,16,SA,Bronze,444
113,45,22,SA,Silver,359
114,33,17,OC,Bronze,23
115,36,26,SA,Bronze,378
116,29,19,EU,Bronze,311
117,28,13,AS,Bronze,484
118,38,8,AF,Bronze,381
119,29,19,AF,Bronze,123
120,14,18,AS,Bronze,138
121,36,10,NA,Bronze,249
122,48,9,EU,Silver,252
123,44,27,EU,Silver,160
124,13,12,EU,Bronze,47
125,39,19,NA,Bronze,229
126,31,29,EU,Bronze,384
127,31,15,AS,Bronze,229
128,18,20,EU,Bronze,290
129,37,16,AS,Bronze,153
130,15,16,OC,Bronze,287
131,25,14,NA,Bronze,187
132,19,23,EU,Bronze,222
133,34,18,AS,Bronze,199
134,15,17,AS,Bronze,275
135,19,17,OC,Bronze,248
136,27,18,NA,Bronze,123
137,42,22,AS,Silver,284
138,26,13,OC,Bronze,510
139,32,10,OC,Bronze,190
140,46,19,SA,Silver,340
141,26,29,NA,Bronze,213
142,42,6,AS,Silver,306
143,43,17,OC,Silver,138
144,36,11,AS,Bronze,253
145,36,25,AF,Bronze,479
146,32,9,OC,Bronze,256
147,25,19,OC,Bronze,564
148,49,12,AF,Silver,352
149,22,14,AF,Bronze,0
150,50,13,AS,Silver,407
151,29,15,AF,Bronze,451
152,33,23,EU,Bronze,209
153,46,15,NA,Silver,350
154,53,14,AF,Silver,474
155,39,7,SA,Bronze,326
156,26,12,OC,Bronze,290
157,27,6,OC,Bronze,172
158,30,8,NA,Bronze,225
159,18,12,OC,Bronze,366
160,43,15,AS,Silver,355
161,46,19,NA,Silver,481
162,38,5,OC,Bronze,200
163,24,9,SA,Bronze,244
164,30,12,AS,Bronze,186
165,27,26,AS,Bronze,319
166,25,23,SA,Bronze,261
167,9,8,OC,Bronze,197
168,34,16,AF,Bronze,372
169,30,13,AF,Bronze,283
170,56,21,SA,Gold,293
171,23,6,OC,Bronze,295
172,33,14,SA,Bronze,233
173,37,24,NA,Bronze,359
174,35,16,OC,Bronze,261
175,20,13,AF,Bronze,383
176,39,20,SA,Bronze,294
177,34,14,AS,Bronze,295
178,50,16,AF,Silver,155
179,25,13,SA,Bronze,304
180,35,21,AS,Bronze,436
181,29,32,SA,Bronze,269
182,41,18,OC,Silver,268
183,43,8,EU,Silver,478
184,20,7,SA,Bronze,513
185,26,16,NA,Bronze,242
186,56,13,AF,Gold,357
187,17,14,NA,Bronze,185
188,23,11,EU,Bronze,381
189,43,12,EU,Silver,598
190,38,15,NA,Bronze,358
191,43,21,AF,Silver,250
192,27,12,SA,Bronze,440
193,24,10,OC,Bronze,257
194,22,28,AF,Bronze,316
195,34,21,EU,Bronze,388
196,27,16,SA,Bronze,445
197,35,10,AS,Bronze,329
198,21,21,SA,Bronze,229
199,49,23,OC,Silver,242
200,44,21,SA,Silver,369
201,35,14,SA,Bronze,235
202,25,13,OC,Bronze,337
203,19,16,EU,Bronze,317
204,36,7,AS,Bronze,368
205,37,21,EU,Bronze,245
206,42,17,NA,Silver,396
207,29,38,OC,Bronze,429
208,31,13,NA,Bronze,198
209,18,17,EU,Bronze,63
210,44,11,AF,Silver,177
211,22,5,AS,Bronze,224
212,20,13,AF,Bronze,46
213,25,10,NA,Bronze,48
214,33,15,OC,Bronze,300
215,32,12,AF,Bronze,48
216,44,10,AS,Silver,180
217,44,29,EU,Silver,285
218,17,24,NA,Bronze,304
219,24,8,AF,Bronze,446
220,40,21,NA,Bronze,241
221,56,7,NA,Gold,332
222,13,14,AS,Bronze,214
223,39,19,AS,Bronze,393
224,28,10,EU,Bronze,509
225,28,6,NA,Bronze,453
226,51,12,NA,Silver,290
227,46,10,OC,Silver,375
228,25,18,OC,Bronze,160
229,39,8,AF,Bronze,312
230,35,13,OC,Bronze,336
231,33,13,SA,Bronze,226
232,30,19,AS,Bronze,196
233,24,10,EU,Bronze,283
234,22,36,NA,Bronze,203
235,49,26,AF,Silver,274
236,39,11,SA,Bronze,333
237,49,21,EU,Silver,204
238,33,19,AF,Bronze,336
239,52,16,EU,Silver,399
240,23,15,AS,Bronze,395
241,24,29,OC,Bronze,160
242,22,15,SA,Bronze,307
243,32,23,EU,Bronze,321
244,28,5,EU,Bronze,257
245,32,23,SA,Bronze,330
246,35,11,EU,Bronze,365
247,47,23,SA,Silver,530
248,36,14,AF,Bronze,358
249,23,19,NA,Bronze,52
250,36,23,EU,Bronze,0
251,18,17,AF,Bronze,341
252,45,8,SA,Silver,335
253,18,9,AF,Bronze,164
254,30,28,AF,Bronze,147
255,38,14,NA,Bronze,343
256,38,15,AS,Bronze,93
257,43,21,EU,Silver,264
258,35,10,AF,Bronze,435
259,36,15,SA,Bronze,165
260,14,17,SA,Bronze,264
261,49,12,AF,Silver,275
262,33,20,SA,Bronze,338
263,36,19,AS,Bronze,319
264,53,17,SA,Silver,396
265,19,18,NA,Bronze,53
266,31,10,AF,Bronze,164
267,53,21,EU,Silver,231
268,22,11,SA,Bronze,282
269,29,33,NA,Bronze,389
270,40,11,OC,Bronze,280
271,15,24,EU,Bronze,41
272,22,18,SA,Bronze,69
273,26,10,EU,Bronze,103
274,35,18,EU,Bronze,324
275,39,16,EU,Bronze,431
276,13,22,NA,Bronze,130
277,37,7,EU,Bronze,400
278,16,9,AF,Bronze,86
279,27,20,OC,Bronze,313
280,14,23,SA,Bronze,444
281,25,8,AS,Bronze,465
282,47,17,EU,Silver,363
283,27,24,NA,Bronze,390
284,33,5,SA,Bronze,280
285,20,18,OC,Bronze,220
286,29,24,AF,Bronze,383
287,25,27,OC,Bronze,294
288,28,22,AS,Bronze,234
289,30,20,AF,Bronze,294
290,37,14,OC,Bronze,129
291,39,5,OC,Bronze,377
292,18,7,AS,Bronze,223
293,36,23,SA,Bronze,470
294,33,26,SA,Bronze,49
295,31,21,AS,Bronze,258
296,36,19,AF,Bronze,360
297,32,19,OC,Bronze,192
298,32,15,AF,Bronze,344
299,29,11,EU,Bronze,297
300,25,25,EU,Bronze,155
301,42,17,EU,Silver,335
302,48,17,SA,Silver,227
303,32,18,NA,Bronze,90
304,50,5,SA,Silver,500
305,24,16,AF,Bronze,310
306,26,5,SA,Bronze,278
307,25,18,OC,Bronze,216
308,43,12,SA,Silver,427
309,39,7,SA,Bronze,325
310,34,11,AF,Bronze,318
311,26,13,AF,Bronze,594
312,28,16,SA,Bronze,514
313,33,25,NA,Bronze,221
314,34,32,AF,Bronze,291
315,28,16,AS,Bronze,261
